"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 24 16:50:55 GMT 2024","Sun Mar 24 16:50:57 GMT 2024","1958","chromium","example.spec.ts","parametrized tests","","","test book title: Designing Evolvable Web APIs with ASP.NET",""
"passed","Sun Mar 24 16:50:49 GMT 2024","Sun Mar 24 16:50:54 GMT 2024","5467","chromium","example.spec.ts","example","","","second tab",""
"passed","Sun Mar 24 16:50:47 GMT 2024","Sun Mar 24 16:50:49 GMT 2024","1739","chromium","example.spec.ts","example","","","mocked one book",""
"passed","Sun Mar 24 16:50:39 GMT 2024","Sun Mar 24 16:50:47 GMT 2024","8018","chromium","example.spec.ts","example","","","failed login",""
"passed","Sun Mar 24 16:50:44 GMT 2024","Sun Mar 24 16:50:49 GMT 2024","4991","chromium","example.spec.ts","example","","","login button exist",""
"passed","Sun Mar 24 16:51:01 GMT 2024","Sun Mar 24 16:51:03 GMT 2024","1915","chromium","example.spec.ts","parametrized tests","","","test book title: Eloquent JavaScript, Second Edition",""
"passed","Sun Mar 24 16:50:39 GMT 2024","Sun Mar 24 16:50:44 GMT 2024","5090","chromium","example.spec.ts","example","","","login",""
"passed","Sun Mar 24 16:50:51 GMT 2024","Sun Mar 24 16:50:53 GMT 2024","2357","chromium","example.spec.ts","parametrized tests","","","test book title: Git Pocket Guide",""
"failed","Sun Mar 24 16:50:50 GMT 2024","Sun Mar 24 16:50:50 GMT 2024","50","chromium","example.spec.ts","example","","","failing test",""
"passed","Sun Mar 24 16:50:54 GMT 2024","Sun Mar 24 16:50:59 GMT 2024","4563","chromium","example.spec.ts","parametrized tests","","","test book title: You Don't Know JS",""
"passed","Sun Mar 24 16:50:53 GMT 2024","Sun Mar 24 16:50:55 GMT 2024","1752","chromium","example.spec.ts","parametrized tests","","","test book title: Learning JavaScript Design Patterns",""
"passed","Sun Mar 24 16:51:03 GMT 2024","Sun Mar 24 16:51:05 GMT 2024","2112","chromium","example.spec.ts","parametrized tests","","","test book title: Understanding ECMAScript 6",""
"passed","Sun Mar 24 16:50:59 GMT 2024","Sun Mar 24 16:51:01 GMT 2024","1760","chromium","example.spec.ts","parametrized tests","","","test book title: Programming JavaScript Applications",""
"passed","Sun Mar 24 16:50:57 GMT 2024","Sun Mar 24 16:50:59 GMT 2024","1957","chromium","example.spec.ts","parametrized tests","","","test book title: Speaking JavaScript",""
"skipped","Sun Mar 24 16:50:39 GMT 2024","Sun Mar 24 16:50:39 GMT 2024","1","chromium","example.spec.ts","example","","","login title",""
